dataset,model,strategy,sample_id,rank,question,topic,skill,target_evidence,top_negative_sample_id,top_negative_topic,top_negative_skill,top_negative_evidence
tqa_ck12,bm25,random,DQ_000077,2,How many stages are there to the formation of a fossil?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000078,2,Identify which of the following does not happen to a fish.,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000081,2,How many steps of aquatic fossil formation show the image?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000082,3,What happens right after a fish dies and sink to the bottom of a lake?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000085,2,Which is the last step of the process?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000088,2,What is the stage of fossilization that is between the formation of lignite and anthracite?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000089,2,How are arthritides formed?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000090,2,What is formed by the compression of Peat?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000092,3,What happened 300 million years ago?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000094,2,How many steps are in the process of fossilization?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000095,2,Identify the part of the process where sediment begins to cover the remains.,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000096,2,Which is the last stage in the process of fossilization?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
